cluster_rank,cluster_X,cluster_Y,best_adjusted_pvalue
1,cancer_shape_Maximum2DDiameterSlice;cancer_shape_Maximum2DDiameterRow;cancer_shape_MinorAxisLength;cancer_shape_Maximum2DDiameterColumn;cancer_shape_MajorAxisLength;cancer_shape_Maximum3DDiameter;cancer_glrlm_GrayLevelNonUniformity;cancer_gldm_GrayLevelNonUniformity;cancer_glszm_LargeAreaHighGrayLevelEmphasis;cancer_glszm_LargeAreaEmphasis;cancer_glszm_ZoneVariance;cancer_firstorder_Energy;cancer_glszm_SizeZoneNonUniformity;cancer_glszm_GrayLevelNonUniformity;cancer_glrlm_RunLengthNonUniformity;cancer_gldm_DependenceNonUniformity;cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume,StDev_plasm_AreaShape_Zernike_8_8;StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_2_2;StDev_nuclei_Texture_InfoMeas1_Hematoxylin_3_00_256;StDev_plasm_Texture_InfoMeas1_Hematoxylin_3_00_256;Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_6_0;StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_AreaShape_Zernike_2_0;StDev_nuclei_AreaShape_Compactness;StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_3of4;Mean_nuclei_AreaShape_Compactness;Median_nuclei_AreaShape_Compactness;Mean_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent;StDev_plasm_Texture_DifferenceEntropy_Hematoxylin_3_00_256;StDev_nuclei_Intensity_StdIntensityEdge_Hematoxylin;StDev_plasm_Intensity_StdIntensityEdge_Hematoxylin;Mean_nuclei_RadialDistribution_ZernikePhase_Hematoxylin_4_0;StDev_nuclei_RadialDistribution_ZernikePhase_Hematoxylin_4_0;StDev_nuclei_Texture_Correlation_Hematoxylin_3_00_256;StDev_plasm_Texture_Correlation_Hematoxylin_3_00_256;Mean_nuclei_Intensity_MaxIntensity_Hematoxylin;Mean_plasm_Intensity_MaxIntensity_Hematoxylin;Median_nuclei_Intensity_MaxIntensity_Hematoxylin;Median_plasm_Intensity_MaxIntensity_Hematoxylin;Mean_nuclei_AreaShape_Area;Median_nuclei_AreaShape_Area;Mean_nuclei_Intensity_IntegratedIntensity_Hematoxylin;Median_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_Area;StDev_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_FormFactor;Mean_plasm_Intensity_StdIntensityEdge_Hematoxylin;Median_plasm_Intensity_MinIntensityEdge_Hematoxylin;StDev_nuclei_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_plasm_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_nuclei_RadialDistribution_RadialCV_Hematoxylin_4of4;StDev_nuclei_Texture_SumVariance_Hematoxylin_3_00_256;StDev_plasm_Texture_SumVariance_Hematoxylin_3_00_256;Median_nuclei_Intensity_MassDisplacement_Hematoxylin;Mean_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Median_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Mean_plasm_Texture_Correlation_Hematoxylin_3_00_256;Median_plasm_Texture_Correlation_Hematoxylin_3_00_256,1.4771479980041202e-06
2,bladder_glcm_Imc1;bladder_glcm_Correlation;bladder_glcm_Imc2;bladder_glrlm_RunEntropy;bladder_gldm_DependenceEntropy;cancer_glcm_Idmn;cancer_glcm_Idn;cancer_gldm_SmallDependenceLowGrayLevelEmphasis;cancer_glrlm_LongRunHighGrayLevelEmphasis;cancer_gldm_LargeDependenceHighGrayLevelEmphasis;cancer_glszm_LargeAreaLowGrayLevelEmphasis;cancer_shape_Maximum2DDiameterSlice;cancer_shape_Maximum2DDiameterRow;cancer_shape_MinorAxisLength;cancer_shape_Maximum2DDiameterColumn;cancer_shape_MajorAxisLength;cancer_shape_Maximum3DDiameter;cancer_glrlm_GrayLevelNonUniformity;cancer_gldm_GrayLevelNonUniformity;cancer_glszm_LargeAreaHighGrayLevelEmphasis;cancer_glszm_LargeAreaEmphasis;cancer_glszm_ZoneVariance;cancer_firstorder_Energy;cancer_glszm_SizeZoneNonUniformity;cancer_glszm_GrayLevelNonUniformity;cancer_glrlm_RunLengthNonUniformity;cancer_gldm_DependenceNonUniformity;cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume;bladder_firstorder_10Percentile;bladder_glszm_LargeAreaLowGrayLevelEmphasis;bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256;StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,4.073606343621725e-06
3,bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median,StDev_plasm_AreaShape_Zernike_8_8;StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_2_2;StDev_nuclei_Texture_InfoMeas1_Hematoxylin_3_00_256;StDev_plasm_Texture_InfoMeas1_Hematoxylin_3_00_256;Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_6_0;StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_AreaShape_Zernike_2_0;StDev_nuclei_AreaShape_Compactness;StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_3of4;Mean_nuclei_AreaShape_Compactness;Median_nuclei_AreaShape_Compactness;Mean_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent;StDev_plasm_Texture_DifferenceEntropy_Hematoxylin_3_00_256;StDev_nuclei_Intensity_StdIntensityEdge_Hematoxylin;StDev_plasm_Intensity_StdIntensityEdge_Hematoxylin;Mean_nuclei_RadialDistribution_ZernikePhase_Hematoxylin_4_0;StDev_nuclei_RadialDistribution_ZernikePhase_Hematoxylin_4_0;StDev_nuclei_Texture_Correlation_Hematoxylin_3_00_256;StDev_plasm_Texture_Correlation_Hematoxylin_3_00_256;Mean_nuclei_Intensity_MaxIntensity_Hematoxylin;Mean_plasm_Intensity_MaxIntensity_Hematoxylin;Median_nuclei_Intensity_MaxIntensity_Hematoxylin;Median_plasm_Intensity_MaxIntensity_Hematoxylin;Mean_nuclei_AreaShape_Area;Median_nuclei_AreaShape_Area;Mean_nuclei_Intensity_IntegratedIntensity_Hematoxylin;Median_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_Area;StDev_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_FormFactor;Mean_plasm_Intensity_StdIntensityEdge_Hematoxylin;Median_plasm_Intensity_MinIntensityEdge_Hematoxylin;StDev_nuclei_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_plasm_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_nuclei_RadialDistribution_RadialCV_Hematoxylin_4of4;StDev_nuclei_Texture_SumVariance_Hematoxylin_3_00_256;StDev_plasm_Texture_SumVariance_Hematoxylin_3_00_256;Median_nuclei_Intensity_MassDisplacement_Hematoxylin;Mean_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Median_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Mean_plasm_Texture_Correlation_Hematoxylin_3_00_256;Median_plasm_Texture_Correlation_Hematoxylin_3_00_256,6.130031237008979e-06
4,bladder_glcm_Imc1;bladder_glcm_Correlation;bladder_glcm_Imc2;bladder_glrlm_RunEntropy;bladder_gldm_DependenceEntropy,StDev_plasm_AreaShape_Zernike_8_8;StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_2_2;StDev_nuclei_Texture_InfoMeas1_Hematoxylin_3_00_256;StDev_plasm_Texture_InfoMeas1_Hematoxylin_3_00_256;Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_6_0;StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_AreaShape_Zernike_2_0;StDev_nuclei_AreaShape_Compactness;StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_3of4;Mean_nuclei_AreaShape_Compactness;Median_nuclei_AreaShape_Compactness;Mean_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent;StDev_plasm_Texture_DifferenceEntropy_Hematoxylin_3_00_256;StDev_nuclei_Intensity_StdIntensityEdge_Hematoxylin;StDev_plasm_Intensity_StdIntensityEdge_Hematoxylin;Mean_nuclei_RadialDistribution_ZernikePhase_Hematoxylin_4_0;StDev_nuclei_RadialDistribution_ZernikePhase_Hematoxylin_4_0;StDev_nuclei_Texture_Correlation_Hematoxylin_3_00_256;StDev_plasm_Texture_Correlation_Hematoxylin_3_00_256;Mean_nuclei_Intensity_MaxIntensity_Hematoxylin;Mean_plasm_Intensity_MaxIntensity_Hematoxylin;Median_nuclei_Intensity_MaxIntensity_Hematoxylin;Median_plasm_Intensity_MaxIntensity_Hematoxylin;Mean_nuclei_AreaShape_Area;Median_nuclei_AreaShape_Area;Mean_nuclei_Intensity_IntegratedIntensity_Hematoxylin;Median_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_Area;StDev_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_FormFactor;Mean_plasm_Intensity_StdIntensityEdge_Hematoxylin;Median_plasm_Intensity_MinIntensityEdge_Hematoxylin;StDev_nuclei_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_plasm_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_nuclei_RadialDistribution_RadialCV_Hematoxylin_4of4;StDev_nuclei_Texture_SumVariance_Hematoxylin_3_00_256;StDev_plasm_Texture_SumVariance_Hematoxylin_3_00_256;Median_nuclei_Intensity_MassDisplacement_Hematoxylin;Mean_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Median_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Mean_plasm_Texture_Correlation_Hematoxylin_3_00_256;Median_plasm_Texture_Correlation_Hematoxylin_3_00_256,1.0278333264339957e-05
7,bladder_glszm_SizeZoneNonUniformityNormalized;bladder_glszm_SmallAreaEmphasis;cancer_glszm_SizeZoneNonUniformityNormalized;cancer_glszm_SmallAreaEmphasis,StDev_nuclei_Texture_Correlation_Hematoxylin_3_00_256;StDev_plasm_Texture_Correlation_Hematoxylin_3_00_256;Mean_nuclei_Intensity_MaxIntensity_Hematoxylin;Mean_plasm_Intensity_MaxIntensity_Hematoxylin;Median_nuclei_Intensity_MaxIntensity_Hematoxylin;Median_plasm_Intensity_MaxIntensity_Hematoxylin;Mean_nuclei_AreaShape_Area;Median_nuclei_AreaShape_Area;Mean_nuclei_Intensity_IntegratedIntensity_Hematoxylin;Median_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_Area;StDev_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_FormFactor;Mean_plasm_Intensity_StdIntensityEdge_Hematoxylin;Median_plasm_Intensity_MinIntensityEdge_Hematoxylin;StDev_nuclei_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_plasm_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_nuclei_RadialDistribution_RadialCV_Hematoxylin_4of4;StDev_nuclei_Texture_SumVariance_Hematoxylin_3_00_256;StDev_plasm_Texture_SumVariance_Hematoxylin_3_00_256;Median_nuclei_Intensity_MassDisplacement_Hematoxylin;Mean_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Median_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Mean_plasm_Texture_Correlation_Hematoxylin_3_00_256;Median_plasm_Texture_Correlation_Hematoxylin_3_00_256,7.526243588925992e-05
10,bladder_glszm_ZoneEntropy;bladder_glszm_GrayLevelVariance;bladder_glcm_Contrast;bladder_glcm_DifferenceVariance;bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized;bladder_glcm_MaximumProbability;bladder_glcm_JointEnergy;bladder_glcm_JointEntropy;bladder_firstorder_RootMeanSquared;bladder_glszm_GrayLevelNonUniformityNormalized;bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance,StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256;StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256,0.00011802837398289712
11,bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median,StDev_plasm_AreaShape_Area;StDev_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin,0.00013655632433206294
15,bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized,Median_nuclei_AreaShape_Zernike_2_0;StDev_nuclei_AreaShape_Compactness;StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_3of4;Mean_nuclei_AreaShape_Compactness;Median_nuclei_AreaShape_Compactness;Mean_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent,0.00022266143743289405
16,bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median,Mean_nuclei_Intensity_IntegratedIntensityEdge_Hematoxylin;Median_nuclei_Intensity_IntegratedIntensityEdge_Hematoxylin;Mean_plasm_Texture_InfoMeas1_Hematoxylin_3_00_256;Median_plasm_Texture_InfoMeas1_Hematoxylin_3_00_256;Mean_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Median_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Mean_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin;Median_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin,0.0002382552200379213
17,cancer_glszm_HighGrayLevelZoneEmphasis;cancer_glszm_SmallAreaHighGrayLevelEmphasis;cancer_glrlm_ShortRunHighGrayLevelEmphasis;cancer_glrlm_HighGrayLevelRunEmphasis;cancer_gldm_HighGrayLevelEmphasis;cancer_glcm_Autocorrelation;cancer_glcm_JointAverage;cancer_glrlm_ShortRunLowGrayLevelEmphasis;cancer_glrlm_LowGrayLevelRunEmphasis;cancer_gldm_LowGrayLevelEmphasis;cancer_glszm_LowGrayLevelZoneEmphasis;cancer_glszm_SmallAreaLowGrayLevelEmphasis,Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent,0.000257020622511114
